#central
-0.4357952369291849,51.56826393835236,West Ruislip,WRP
-0.4086721408325937,51.55980535248464,Ruislip Gardens,RUG
-0.3987035878668001,51.556072439442296,South Ruislip,SRP
-0.367269629680893,51.54754527124511,Northolt,NHT
-0.3458397706247479,51.54184909049604,Greenford,GFD
-0.32297401975515255,51.536128440904285,Perivale,PER
-0.2929421377974127,51.529399887405354,Hanger Lane,HLN
-0.2585967389008664,51.522599621537736,North Acton,NAC
-0.24731165008743564,51.5161361263761,East Acton,EAC
-0.22299612064977503,51.51127348952614,White City,WCT
-0.2186751365661621,51.50456210431835,Shepherd's Bush (Central),SBC
-0.2044470396648855,51.506494211377046,Holland Park,HPK
-0.19573429611625517,51.508159181581625,Notting Hill Gate,NHG
-0.18702093197709743,51.509823497734935,Queensway,QWY
-0.17546200797231293,51.51054358067681,Lancaster Gate,LAN
-0.15950906580459664,51.512992353002815,Marble Arch,MAR
-0.1479489743863156,51.51370971128991,Bond Street,BDS
-0.1407100214624204,51.51449452009524,Oxford Circus,OXC
-0.13055300526849062,51.51613175879326,Tottenham Court Road,TCR
-0.11899173744179774,51.51684624949416,Holborn,HOL
-0.11031126715460818,51.51760605665892,Chancery Lane,CYL
-0.09594318373781804,51.516474297991046,St. Paul's,STP
-0.08745071594037705,51.51273866130698,Bank,BNK
-0.0815380898820015,51.51623952981234,Liverpool Street,LST
-0.05514991411046148,51.52659724029554,Bethnal Green,BNG
-0.03217481464410376,51.52441526269963,Mile End,MLE
-0.0026528288014305854,51.54010482881039,Stratford,SFD
-0.004827481734915134,51.55633043728707,Leyton,LEY
0.008662596955620713,51.56779198216698,Leytonstone,LYS
0.022159501170544632,51.5792518806312,Snaresbrook,SNB
0.02844945148188724,51.59083505803949,South Woodford,SWF
0.03490342242437058,51.60601251019075,Woodford,WFD
0.04733896441313544,51.62558222652698,Buckhurst Hill,BHL
0.05669311529746573,51.64070785598985,Loughton,LTN
0.08434088348277381,51.64471701367661,Debden,DEB
0.10436698086731952,51.671340696814205,Theydon Bois,THB
0.11404299904806241,51.69275161137081,Epping,EPP
#fairlop loop
0.008662596955620713,51.56779198216698,Leytonstone,LYS
0.029171291985487284,51.57463398773586,Wanstead,WAN
0.04651849917074459,51.575232043623764,Redbridge,RED
0.06675059450740908,51.57577675142486,Gants Hill,GHL
0.09122729549567268,51.574443639250774,Newbury Park,NEP
0.08883746175016657,51.58527870308355,Barkingside,BDE
0.0921767476545188,51.595112311298784,Fairlop,FLP
0.09395032398276557,51.602275653266716,Hainault,HAI
0.09296193298946101,51.61218636724319,Grange Hill,GRH
0.07584626205170708,51.61698720076681,Chigwell,CHG
0.04400691084431045,51.615747309016996,Roding Valley,ROD
0.03490342242437058,51.60601251019075,Woodford,WFD
#ealing broadway
-0.30071654432315714,51.51422405845407,Ealing Broadway,EBY
-0.28041275513005337,51.51752547201256,West Acton,WAC
-0.2585967389008664,51.522599621537736,North Acton,NAC
