#picadilly
-0.47693445375293037,51.546322300496854,Uxbridge,UXB
-0.4507389344948532,51.55317383103578,Hillingdon,HDN
-0.4403685939253635,51.56113028653863,Ickenham,ICK
-0.4198352644371099,51.57074804452908,Ruislip,RUI
-0.4111177118160099,51.57242896018081,Ruislip Manor,RUM
-0.3965659659299638,51.57582829135067,Eastcote,ETE
-0.37063110275463884,51.574571714397464,Rayners Lane,RLN
-0.3508257316286021,51.56350313437425,South Harrow,SHR
-0.3352242379018699,51.556088183132196,Sudbury Hill,SHL
-0.31526950261694964,51.54950801642583,Sudbury Town,STN
-0.29833775004733365,51.53937097197851,Alperton,ALP
-0.2829898778778415,51.52565727333283,Park Royal,PRY
-0.2879196451383519,51.509541248146235,Ealing Common,ECM
-0.27958171853821395,51.501325159389324,Acton Town,ACT
-0.2539334796874854,51.49375130879487,Turnham Green,TGR
-0.22373029856891472,51.49239831770287,Hammersmith,HMD
-0.21375671007921848,51.489548756353095,Barons Court,BCT
-0.1935646352140436,51.49013875898245,Earl's Court,ECT
-0.1819034972429121,51.493555935628684,Gloucester Road,GRD
-0.17182447426901373,51.49339922165455,South Kensington,SKN
-0.16149236376144455,51.49953315755828,Knightsbridge,KNB
-0.15277947109616125,51.501194935576905,Hyde Park Corner,HPC
-0.14251617140062806,51.50552958854373,Green Park,GPK
-0.13520503146869206,51.50811162093433,Piccadilly Circus,PIC
-0.1278930727310078,51.510693188019395,Leicester Square,LSQ
-0.12349811664222637,51.512421658089636,Covent Garden,COV
-0.11899173744179774,51.51684624949416,Holborn,HOL
-0.12453239504805899,51.52233112344082,Russell Square,RSQ
-0.12275894733267313,51.530396948130495,King's Cross St. Pancras,KXX
-0.11773147617606959,51.54740410314443,Caledonian Road,CRD
-0.11177934890925802,51.55180521070984,Holloway Road,HRD
-0.1057887226624963,51.55710475152352,Arsenal,ARL
-0.10552724299353776,51.56339599809349,Finsbury Park,FPK
-0.09517025948977142,51.56952376660699,Manor House,MNR
-0.10155729499166559,51.58941300168234,Turnpike Lane,TPL
-0.10847274895366035,51.59671946198453,Wood Green,WGN
-0.12397615909269474,51.60596177772326,Bounds Green,BGR
-0.1322306012130133,51.615986203787536,Arnos Grove,AGR
-0.1272704195519133,51.63119597070532,Southgate,SGT
-0.13097475694546196,51.64654377172798,Oakwood,OAK
-0.14816437257557344,51.65041351347815,Cockfosters,CFS
#heathrow
-0.4220322341547698,51.46555663459269,Hatton Cross,HTX
-0.45210292724826395,51.47045415724583,Heathrow Terminals 1 2 & 3,HRC
-0.44533404792029724,51.45777397592602,Heathrow Terminal 4,HRF
-0.488,51.4723,Heathrow Terminal 5,HRV
-0.4220322341547698,51.46555663459269,Hatton Cross,HTX
-0.3843604766082054,51.47223821565412,Hounslow West,HNW
-0.365713339259642,51.47018109517748,Hounslow Central,HNC
-0.35554151477472506,51.47273687520109,Hounslow East,HNE
-0.35093171875155477,51.48076616411142,Osterley,OST
-0.32449213093404167,51.494780737250586,Boston Manor,BOS
-0.3128060976098319,51.49910987040637,Northfields,NFD
-0.30701222844367726,51.49992570497599,South Ealing,SEL
-0.27958171853821395,51.501325159389324,Acton Town,ACT
